state,city,airport,locid,ownership,hub,role,Current,year5,enplaned,based,Devestimate
FL,Fernandina Beach,Fernandina Beach Municipal,FHB,PU,,Regional,GA,GA,11,62,"$16,261,417"
FL,Fort Lauderdale,Fort Lauderdale Executive,FXE,PU,,National,R,R,308,963,"$58,452,270"
FL,Fort Lauderdale,Fort Lauderdale/Hollywood International,FLL,PU,L,,P,P,"12,031,860",94,"$380,566,343"
FL,Fort Myers,Page Field,FMY,PU,,Regional,R,R,35,237,"$28,891,430"
FL,Fort Myers,Southwest Florida International,RSW,PU,M,,P,P,"3,948,006",4,"$51,537,830"
FL,Fort Pierce,St Lucie County International,FPR,PU,,National,GA,GA,23,207,"$16,469,000"
FL,Gainesville,Gainesville Regional,GNV,PU,N,,P,P,"206,820",146,"$36,450,836"
FL,Hilliard,Hilliard Airpark,01J,PU,,Local,GA,GA,0,29,"$1,242,369"
FL,Hollywood,North Perry,HWO,PU,,Regional,R,R,0,245,"$21,711,490"
FL,Homestead,Homestead General Aviation,X51,PU,,Local,GA,GA,0,56,"$7,131,844"
FL,Immokalee,Immokalee Regional,IMM,PU,,Regional,GA,GA,0,58,"$15,983,684"
FL,Inverness,Inverness,INF,PU,,Local,GA,GA,0,37,"$10,730,857"
FL,Jacksonville,Cecil,VQQ,PU,,Regional,GA,GA,375,23,"$22,090,044"
FL,Jacksonville,Herlong Recreational,HEG,PU,,Regional,R,R,0,159,"$9,790,445"
FL,Jacksonville,Jacksonville Executive at Craig,CRG,PU,,National,R,R,2,197,"$16,762,409"
FL,Jacksonville,Jacksonville International,JAX,PU,M,,P,P,"2,589,198",60,"$110,195,097"
FL,Key West,Key West International,EYW,PU,S,,P,P,"383,776",66,"$50,133,982"
FL,Keystone Heights,Keystone Airpark,42J,PU,,Local,GA,GA,0,50,"$6,485,976"
FL,La Belle,La Belle Municipal,X14,PU,,Local,GA,GA,0,43,"$13,718,889"
FL,Lake City,Lake City Gateway,LCQ,PU,,Regional,GA,GA,0,29,"$19,082,198"
FL,Lake Wales,Lake Wales Municipal,X07,PU,,Local,GA,GA,0,15,"$5,637,840"
FL,Lakeland,Lakeland Linder Regional,LAL,PU,,National,R,R,431,224,"$32,323,834"
FL,Leesburg,Leesburg International,LEE,PU,,Regional,GA,GA,5,83,"$20,139,363"
FL,Live Oak,Suwannee County,24J,PU,,Local,GA,GA,0,36,"$5,950,800"
FL,Marathon,The Florida Keys Marathon,MTH,PU,,Local,GA,GA,20,78,"$9,803,333"
FL,Marco Island,Marco Island,MKY,PU,,Local,GA,GA,3,27,"$11,659,000"
FL,Marianna,Marianna Municipal,MAI,PU,,Local,GA,GA,0,26,"$9,801,513"
FL,Melbourne,Melbourne International,MLB,PU,N,,P,P,"214,704",235,"$49,476,278"
FL,Merritt Island,Merritt Island,COI,PU,,Regional,GA,GA,0,146,"$2,668,421"
FL,Miami,Dade-Collier Training and Transition,TNT,PU,,Basic,GA,GA,0,0,"$2,165,578"
FL,Miami,Miami,X44,PU,,Basic,GA,GA,3,0,$0
FL,Miami,Miami Executive,TMB,PU,,National,R,R,62,434,"$4,261,400"
FL,Miami,Miami International,MIA,PU,L,,P,P,"19,471,466",28,"$171,471,580"
FL,Miami,Opa-Locka Executive,OPF,PU,,National,R,R,386,267,"$5,169,764"
FL,Milton,Peter Prince Field,2R4,PU,,Local,GA,GA,0,91,"$2,768,455"
FL,Naples,Naples Municipal,APF,PU,,National,GA,GA,874,322,"$23,479,167"
FL,New Smyrna Beach,New Smyrna Beach Municipal,EVB,PU,,Regional,R,R,4,46,"$5,853,833"
FL,Ocala,Ocala International-Jim Taylor Field,OCF,PU,,Regional,GA,GA,31,106,"$28,185,398"
FL,Okeechobee,Okeechobee County,OBE,PU,,Local,GA,GA,"1,027",31,"$15,292,000"
FL,Orlando,Executive,ORL,PU,,National,R,R,142,185,"$20,111,697"
FL,Orlando,Kissimmee Gateway,ISM,PU,,Regional,R,R,121,134,"$11,240,477"
FL,Orlando,Orlando International,MCO,PU,L,,P,P,"17,278,608",34,"$118,642,432"
FL,Orlando,Orlando Sanford International,SFB,PU,S,,P,P,"1,064,133",344,"$56,936,878"
FL,Ormond Beach,Ormond Beach Municipal,OMN,PU,,Regional,R,R,0,150,"$18,165,699"
FL,Pahokee,Palm Beach County Glades,PHK,PU,,Local,GA,GA,0,15,"$7,000,000"
FL,Palatka,Palatka Municipal-Lt Kay Larkin Field,28J,PU,,Local,GA,GA,0,49,"$21,970,359"
FL,Palm Coast,Flagler County,FIN,PU,,Regional,GA,GA,1,70,"$18,887,643"
FL,Panama City,Northwest Florida Beaches International,ECP,PU,S,,P,P,"394,570",110,"$71,740,651"
FL,Pensacola,Pensacola International,PNS,PU,S,,P,P,"758,612",88,"$65,990,807"
FL,Perry,Perry-Foley,40J,PU,,Local,GA,GA,0,15,"$10,723,683"
FL,Plant City,Plant City,PCM,PU,,Local,GA,GA,0,89,"$8,455,700"
FL,Pompano Beach,Pompano Beach Airpark,PMP,PU,,Regional,GA,GA,0,142,"$7,042,000"
FL,Punta Gorda,Punta Gorda,PGD,PU,N,,P,P,"336,905",316,"$8,834,800"
FL,Quincy,Quincy Municipal,2J9,PU,,Local,GA,GA,0,49,"$9,109,279"
FL,Sarasota/Bradenton,Sarasota/Bradenton International,SRQ,PU,S,,P,P,"598,219",226,"$42,959,143"
FL,Sebastian,Sebastian Municipal,X26,PU,,Local,GA,GA,0,36,"$5,513,889"
FL,Sebring,Sebring Regional,SEF,PU,,Regional,GA,GA,2,62,"$23,444,770"
FL,St Augustine,Northeast Florida Regional,SGJ,PU,N,,P,P,"19,701",202,"$14,409,269"
FL,St Petersburg,Albert Whitted,SPG,PU,,Regional,R,R,0,130,"$1,040,000"
FL,St Petersburg-Clearwater,St Pete-Clearwater International,PIE,PU,S,,P,P,"663,810",310,"$46,553,311"
FL,Stuart,Witham Field,SUA,PU,,National,GA,GA,94,280,"$9,029,896"
FL,Tallahassee,Tallahassee International,TLH,PU,N,,P,P,"339,078",98,"$57,608,475"
FL,Tampa,Peter O Knight,TPF,PU,,Regional,R,R,0,101,"$11,189,459"
FL,Tampa,Tampa Executive,VDF,PU,,Regional,R,R,3,134,"$15,920,667"
FL,Tampa,Tampa International,TPA,PU,L,,P,P,"8,531,561",65,"$476,998,366"
FL,Titusville,Arthur Dunn Air Park,X21,PU,,Local,GA,GA,0,52,"$4,583,333"
FL,Titusville,Space Coast Regional,TIX,PU,,Regional,GA,GA,14,126,"$29,672,448"
FL,Umatilla,Umatilla Municipal,X23,PU,,Basic,GA,GA,0,11,"$2,794,444"
FL,Valkaria,Valkaria,X59,PU,,Local,GA,GA,0,109,"$8,481,055"
FL,Valparaiso/Destin-Ft Walton Beach,Eglin AFB/Destin-Ft Walton Beach,VPS,MA,N,,P,P,"360,542",0,"$23,809,353"
FL,Venice,Venice Municipal,VNC,PU,,Regional,R,R,11,214,"$16,140,444"
FL,Vero Beach,Vero Beach Municipal,VRB,PU,,Regional,GA,GA,153,226,"$16,982,378"
FL,Wauchula,Wauchula Municipal,CHN,PU,,Local,GA,GA,0,43,"$12,014,685"
FL,West Palm Beach,North Palm Beach County General Aviation,F45,PU,,Regional,R,R,14,272,"$20,454,376"
FL,West Palm Beach,Palm Beach County Park,LNA,PU,,Regional,R,R,2,269,"$29,062,500"
FL,West Palm Beach,Palm Beach International,PBI,PU,M,,P,P,"2,926,242",148,"$106,929,918"
FL,Williston,Williston Municipal,X60,PU,,Local,GA,GA,0,58,"$5,188,455"
FL,Winter Haven,Winter Haven's Gilbert,GIF,PU,,Regional,GA,GA,6,132,"$5,775,000"
FL,Zephyrhills,Zephyrhills Municipal,ZPH,PU,,Regional,GA,GA,0,158,"$6,633,667"
GA,Adel,Cook County,15J,PU,,Local,GA,GA,0,17,"$3,615,000"
GA,Albany,Southwest Georgia Regional,ABY,PU,N,,P,P,"31,260",29,"$13,700,888"
GA,Alma,Bacon County,AMG,PU,,Basic,GA,GA,0,10,"$2,275,687"
GA,Americus,Jimmy Carter Regional,ACJ,PU,,Local,GA,GA,0,29,"$1,872,631"
GA,Ashburn,Turner County,75J,PU,,Unclassified,GA,GA,0,4,$0
GA,Athens,Athens/Ben Epps,AHN,PU,,Local,GA,GA,"2,476",79,"$12,634,000"
GA,Atlanta,Atlanta Regional Falcon Field,FFC,PU,,Regional,GA,GA,0,133,"$18,993,860"
GA,Atlanta,Atlanta South Regional,4A7,PU,,Regional,GA,GA,3,82,"$9,202,376"
GA,Atlanta,Cobb County International-McCollum Field,RYY,PU,,National,R,R,2,293,"$24,733,468"
GA,Atlanta,Covington Municipal,CVC,PU,,Local,GA,GA,0,39,"$9,384,500"
GA,Atlanta,Dekalb-Peachtree,PDK,PU,,National,R,R,420,391,"$19,939,981"
GA,Atlanta,Fulton County Airport-Brown Field,FTY,PU,,National,R,R,32,86,"$28,355,849"
GA,Atlanta,Hartsfield-Jackson Atlanta International,ATL,PU,L,,P,P,"46,604,273",3,"$157,932,168"
GA,Atlanta,Newnan Coweta County,CCO,PU,,Regional,GA,GA,0,94,"$12,903,946"
GA,Atlanta,Paulding Northwest Atlanta,PUJ,PU,,Basic,GA,GA,0,10,"$17,134,503"
GA,Augusta,Augusta Regional at Bush Field,AGS,PU,N,,P,P,"263,478",11,"$20,837,174"
GA,Augusta,Daniel Field,DNL,PU,,Local,GA,GA,0,55,"$4,000,000"
GA,Bainbridge,Decatur County Industrial Air Park,BGE,PU,,Local,GA,GA,3,44,"$3,277,778"
GA,Baxley,Baxley Municipal,BHC,PU,,Basic,GA,GA,0,14,"$2,666,666"
GA,Blairsville,Blairsville,DZJ,PU,,Local,GA,GA,0,37,"$4,065,244"
GA,Blakely,Early County,BIJ,PU,,Basic,GA,GA,0,12,"$1,055,000"
GA,Brunswick,Brunswick Golden Isles,BQK,PU,N,,P,P,"32,579",37,"$8,778,236"
GA,Brunswick,McKinnon St Simons Island,SSI,PU,,Regional,GA,GA,112,82,"$14,273,662"
GA,Butler,Butler Municipal,6A1,PU,,Basic,GA,GA,0,12,"$1,702,895"
GA,Cairo,Cairo-Grady County,70J,PU,,Local,GA,GA,0,15,"$1,575,632"
GA,Calhoun,Tom B David Field,CZL,PU,,Local,GA,GA,0,108,"$4,638,890"
GA,Camilla,Camilla-Mitchell County,CXU,PU,,Local,GA,GA,6,24,"$1,948,500"
GA,Canon,Franklin County,18A,PU,,Local,GA,GA,0,23,"$1,790,000"
